"Main_business","Product_type","Product_name","Business_range","scrapy_time","code"
"为国内外知名企业提供展示服务,包括品牌终端展示服务、循环会展服务和虚拟展示服务。","终端展示、虚拟展示、循环会展","终端展示    、虚拟展示    、循环会展","品牌展示策划、设计、推广服务；商业空间展示设计及建设；工程装饰、装修及工程施工；承办展览展示；数字多媒体的研发与应用；展览展示新材料的研发、推广应用；从事广告业务；国内贸易（法律、行政法规、国务院决定规定在登记前须经批准的项目除外）；货物进出口、技术进出口（法律、行政法规禁止的项目除外；法律、行政法规限制的项目须取得许可后方可经营）；兴办实业（具体项目另行申报）；创意产品设计、开发、销售；三维体验服务；3D打印服务；3D打印产品销售；信息系统集成服务；信息技术咨询、技术服务；计算机软件设计、应用、销售、技术开发、技术咨询、技术服务；集成电路设计、制造、应用、销售、技术服务；网络技术的研究、开发；3D数据处理和存储服务；3D数字内容服务（不含限制项目）；虚拟现实技术研发、应用；数字动漫制作；游戏软件设计制作。^展览展示道具的研发加工；展示及显示设备研发生产、数字多媒体的研发与应用、光电仪器研发生产；普通货运。数字化扫描成像服务以及相关设备研发、生产、销售。","2020-02-26 17:03:11","002751"
"煤焦油加工及炭黑产品的生产和销售","炭黑、煤焦油加工产品","橡胶用炭黑    、导电炭黑    、色素炭黑    、蒽油    、工业萘    、酚油    、洗油    、改质沥青","炭黑制品制造;轻油、洗油、萘、苯酚钠、煤焦沥青加工、销售(限有效安全生产许可证许可范围经营,有效期至2021年9月29日);硫酸铵、酚钠盐、蒸汽加工、销售;电力业务;尾气发电;经营本企业自产产品的出口业务和本企业生产所需的原辅材料、仪器仪表、机械设备、零配件及技术的进口业务(国家限制公司经营或禁止进出口的商品及技术除外)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)","2020-02-26 17:03:17","002753"
"不锈钢棒线材及特殊合金材料的研发、生产和销售","不锈钢棒、线材","不锈钢棒    、线材","不锈钢、合金等特钢钢锭、圆钢、锻压件、荒管、线材和钢丝等金属材料及制品的研发、冶炼、生产、加工,锂离子电池的研发、生产和销售,经营进出口业务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)","2020-02-26 17:03:21","002756"
"板式家具生产线成套设备的研发、设计、生产和销售","专用机械","自动封边机    、数控裁板锯    、多排多轴钻    、精密推台锯    、加工中心    、配件","机械设备、定制家具柔性化生产线制造和销售，软件开发，工业自动化和智能化技术支持，并提供相关售后服务；货物进出口、技术进出口。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。","2020-02-26 17:03:25","002757"
"消化类、抗肿瘤类及其他药品的研发、生产和销售业务","医药制造、医药销售","奥西康    、奥维加    、奥加明    、奥一明    、奥诺先    、奥先达","医学研究与试验发展;技术咨询、技术服务;货物进出口、技术进出口;企业管理;销售化工产品。(企业依法自主选择经营项目,开展经营活动;销售化工产品以及依法须经批准的项目,经相关部门批准后依批准的内容开展经营活动;不得从事本市产业政策禁止和限制类项目的经营活动。)","2020-02-26 17:03:34","002755"
"陶瓷烹饪家电、电热水壶的研发、生产和销售；锂电材料","陶瓷隔水炖、陶瓷电炖盅、陶瓷电炖锅、陶瓷电饭煲、陶瓷煮粥锅、陶瓷养生煲、电水壶、电热水瓶、蒸蛋器、电蒸锅、酸奶机、六氟磷酸锂、高纯度六氟磷酸锂、氟硼酸钾、氟铝酸钠","陶瓷隔水炖    、陶瓷电炖盅    、陶瓷电炖锅    、陶瓷电饭煲    、陶瓷煮粥锅    、陶瓷养生煲    、电水壶    、电热水瓶    、蒸蛋器    、电蒸锅    、酸奶机    、六氟磷酸锂    、高纯度六氟磷酸锂    、氟硼酸钾    、氟铝酸钠","生产加工家用小电器及其配套电子元器件、陶瓷制品及塑料制品；Ⅱ类6820普通诊察机械（医疗器械生产企业许可证有效期至2020年3月19日）；医疗器械经营；医疗耗材的经营销售。（以上经营范围涉及许可证的，凭许可证经营；涉及行业许可管理的，按国家规定办理）；生产六氟磷酸锂、氟铝酸钠、氟化盐系列产品（氟硼酸钾、氟钛酸钾、氟锆酸钾）、盐酸、氯化钙；从事货物及技术的进出口业务，但国家限定公司经营或禁止进出口的商品和技术除外。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","2020-02-26 17:03:38","002759"
"从事耐磨材料研发、生产、销售和技术服务","耐磨材料","“凤形”牌高铬球段    、特高铬球段    、热轧钢球","合金钢及其零部件、耐磨金属及其零部件、铸钢铸铁件、冷铸模(铸造)、金属护壁板等耐磨材料制造和销售;机械设备制造和销售;经营本企业生产、科研所需的原辅材料、仪器仪表、零配件及相关技术的进口业务;开展对外合资经营、合作生产及“三来一补”业务;房屋租赁、场地租赁、机械设备租赁;来料加工。","2020-02-26 17:04:29","002760"
"从事以套件类、芯类产品为主的床上用品的研发设计、委托加工的组织、品牌推广、渠道建设、销售以及新材料在床上产品中的应用研发等业务","套件、被芯、枕芯、服装、夏凉家饰、互联网及相关业务","套件    、被芯    、枕芯    、服装    、夏凉家饰    、互联网及相关业务","床上用品、床垫、服装、窗帘及家用饰品的开发、生产与销售；纳米银抗菌剂、抗菌织物的研究、开发、生产、销售；宣传用品、展示用品、床上用品生产材料的销售；货物进出口、技术进出口；计算机软硬件技术开发、技术推广、技术转让、技术咨询及相关应用软件服务；鞋、皮革类商品修理服务；日用百货、文化体育用品、化妆品、电子产品的研发、生产、销售；企业管理咨询服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","2020-02-26 17:04:35","002761"
"婴幼儿消费品的设计研发、生产、销售。","母婴消费品","经营情况讨    、母婴棉制用品    、其他母婴用品","妇婴童用品的研发、设计、加工、制造、销售;化妆品生产;加工、制造、销售：日用化工,洗涤剂,消毒剂,纺织品,服装及辅料,床上用品,游泳衣及泳具,雨衣,童车,家具,纸制品,塑料制品;销售：百货,家用电器,玩具,汽车用品;自有物业租赁;产品开发设计;服装设计;工业产品造型设计;环保设备设计;婴幼儿早期教育及妇女生育健康咨询;摄影摄像服务;礼仪服务;婚庆礼仪服务;对实业、商业的投资;货物进出口、技术进出口;食品销售;餐饮服务;公共场所(咖啡馆、茶座);娱乐场所(游艺娱乐);医疗器械经营。(依法须经批准的项目,经相关部门批准后方可开展经营活动。)","2020-02-26 17:04:40","002762"
"药品批发、连锁零售","药品","西药    、中成药    、中药材    、中药饮片","批发：中药材、中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品、麻醉药品、第一类精神药品、第二类精神药品、蛋白同化制剂、肽类激素（凭《药品经营许可证》经营）；中药材收购；医疗器械（详见医疗器械经营许可证浙绍食药监械经营许20140010号）。食品经营（凭许可证经营），批发、零售：日用百货、化妆品、消毒用品、无需审批的医疗器械；商品信息咨询；房屋租赁；国内广告代理、发布、设计、制作。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","2020-02-26 17:04:43","002758"
"从事内衣人体工学研究、工艺技术研究、品牌策划推广、开发设计、生产制造、市场营销","文胸、内裤、保暖衣、OEM","文胸    、内裤    、保暖衣    、OEM","服装服饰产品及服装原辅材料及饰品、化妆品、鞋、帽、袜类、日常家居用品、卫生用品、箱、包、眼镜等的设计、技术开发、生产（子公司另行生产）与销售及其它国内贸易（以上不含专营、专控、专卖商品）、不动产租赁、物业管理、包装制品的设计、销售；经营进出口业务（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）；兴办实业（具体项目另行申报）；信息咨询（不含人才中介服务及其它限制项目）。货物仓储(不含危化品及监控品）。","2020-02-26 17:04:44","002763"
"乘用车变速器齿轮及壳体等零部件、变速器总成、摩托车主副轴组件的研发、生产与销售","乘用车手动变速器总成、乘用车自动变速器总成、乘用车手动变速器齿轮、乘用车自动变速器零部件、汽配压铸产品、外协外购件、摩托车主副轴组件","乘用车手动变速器总成    、乘用车自动变速器总成    、乘用车手动变速器齿轮    、乘用车自动变速器零部件    、汽配压铸产品    、外协外购件    、摩托车主副轴组件","经依法登记，公司的经营范围为：在《中华人民共和国进出口企业资格证书》有效期及核定进出口商品目录内经营本企业自产产品及技术的出口业务和本企业所需的机械设备、零配件、原辅材料及技术的进口业务，但国家限定公司经营或禁止进出口的商品及技术除外。机械加工，生产机械模具。研发、生产、销售：汽车零部件、摩托车齿轮、轴；汽车用精密铸件。","2020-02-26 17:04:48","002765"
"专业从事CID(CarInformaticDevice)系统的研发、生产、销售","车联网、汽车辅助驾驶、自动驾驶、后台服务","车机手机互联类产品    、括T-BOX    、视频    、4S点客户增值管理    、新能源车车联网系统    、网约车系统    、智慧城市系统    、智能中控    、全液晶数字仪表盘组合    、智能尾门    、脚踢控制器    、ADAS系统(包括FCW    、PCW    、LDW    、AEB等)    、车内ADAS系统(包括驾驶员注意力辅助系统和人脸识别系统等)    、车辆全盲区管理(包括360环视系统    、A柱盲区显示及大型车盲区管理等)    、毫米波雷达(包括24G毫米波雷达    、77G毫米波雷达),自动驾驶解决方案    、人机交互","汽车用收录（放）音机、车载CD、车载VCD、车载DVD（含GPS）液晶显示屏一体机的生产，国内商业、物资供销业，货物及技术进出口；技术开发、咨询；投资兴办实业。（以上均不含法律、行政法规、国务院决定禁止及规定需前置审批项目）","2020-02-26 17:04:52","002766"
"为燃气行业提供“城市燃气智能计量网络收费系统”的整体解决方案及与之配套的智能燃气表等终端产品的研发、生产和销售。","仪器仪表","民用IC卡智能燃气表（含物联网表）    、无线远传智能燃气表    、工商用智能燃气表","制造计量器具、电子计算机及其外部设备;软件开发;技术开发、技术服务、技术咨询、成果转让
智能仪表系列产品;批发、零售本公司制造的产品,电子产品;安装与维修;从事进出口业务。","2020-02-26 17:04:54","002767"
"改性塑料粒子及深加工后的各种改性塑料制品的研发、生产和销售","改性材料、复合材料、光显材料、体育休闲及药用保健辅材","改性材料    、复合材料    、光显材料    、体育休闲及药用保健辅材","一般经营项目：塑料原料及产品、改性塑料、塑料合金材料、功能塑料板材、模具的研究开发、生产、销售；复合材料及制品的研发、生产、销售；人造草坪、人造草丝及橡胶运动产品的研发、生产、销售；塑胶运动场地设计及场地工程施工；电器电子配件、汽车零部件的加工、销售；货物进出口（法律、行政法规禁止的项目除外；法律、行政法规限制的项目须取得许可证后方可经营）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。","2020-02-26 17:04:55","002768"
"乳制品、乳饮料、饮料的生产与销售，奶牛的养殖、繁育及销售","奶制品","常温灭菌乳    、调制乳    、含乳饮料    、乳味饮品    、低温巴氏乳    、发酵乳","乳制品、乳饮料、饮料的生产与销售(凭许可证经营)；从事货物及技术的进出口业务（但国家限定公司经营或禁止进出口的商品及技术除外）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。","2020-02-26 17:05:01","002770"
"供应链管理服务","供应链管理服务","供应链管理服务","供应链的管理；国际、国内货运代理服务；兴办实业；信息咨询；国内贸易；经营进出口业务；汽车销售（不含小轿车）。医疗器械生产、经营（二类、三类），食品流通（含定型包装食品、保健食品）；农副产品、预包装食品（不含复热）的批发。","2020-02-26 17:05:03","002769"
"多媒体视讯综合解决方案业务","多媒体信息系统、生产监控与应急指挥系统、数据中心系统建设及服务","多媒体信息系统    、生产监控与应急指挥系统    、数据中心系统建设及服务","技术开发；技术服务；技术转让；技术咨询；计算机技术培训；应用软件服务；计算机系统服务；销售计算机、软硬件及辅助设备；专业承包；设备租赁；货物进出口；技术进出口。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）","2020-02-26 17:05:07","002771"
"从事食用菌的研发、生产与销售","食用菌、药用菌及其辅料","金针菇    、双孢菇    、真姬菇","食用菌、药用菌及其辅料的生产、销售、微生物技术、生物工程技术、农业新技术的研发、应用、研究、推广、农副土特产品的生产、加工、销售。","2020-02-26 17:05:09","002772"
"以技术创新为主线推动研发、生产和销售三大板块，以临床需求为导向，持续专注于医药行业致力于中成药、化学药及生物制品的研发、生产和销售，专业创新、专业服务","眼科、中枢神经系统、消化系统、呼吸系统及其他","康柏西普眼用注射液    、松龄血脉康胶囊    、盐酸文拉法辛胶囊    、缓释片    、阿立哌唑片及口崩片    、右佐匹克隆片    、舒肝解郁胶囊    、胆舒胶囊    、枸橼酸莫沙必利片及分散片    、一清胶囊    、感咳双清胶囊    、渴络欣胶囊    、玄麦甘桔胶囊","药品和医疗器械的研发、生产、销售及社会经济信息咨询;货物及技术进出口。(依法须经批准的项目,经相关部门批准后方可开展经营活动)。","2020-02-26 17:05:13","002773"
"生态工程施工、景观设计、园林养护、绿化苗木种植","园林工程、园林设计、园林养护","园林工程    、园林设计    、园林养护","风景园林的规划设计，旅游规划设计，园林绿化的施工与养护，植树造林的规划设计与施工，园林古建工程施工，河湖整治工程施工，环保工程施工，建筑工程施工总承包，市政公用工程施工总承包，城乡规划编制、建设工程项目规划选址的可行性研究（以上需取得建设行政主管部门颁发的资质证书后方可经营）；废水、固体废物以及污染修复等环境污染防治；林业有害生物防治；花卉盆景的购销、租赁（不含专营、专控、专卖商品及其它限制项目）；花卉苗木种植和新品种开发；企业形象策划。（以上内容法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）","2020-02-26 17:05:21","002775"
"从事电梯、自动扶梯和自动人行道的设计研发、制造、销售及产品的安装、改造和维保服务。","垂直电梯、自动扶梯、自动人行道","乘客电梯    、载货电梯    、自动扶梯    、自动人行道","产销、安装、维修、改造：电梯，自动扶梯；产销、安装30吨以下桥式起重机，门式起重机；经营本企业自产产品及技术的出口业务；经营本企业生产所需的原辅材料、仪器仪表、机械设备、零配件及技术的进口业务；生产、销售：机电产品、日用百货、办公用品、家具、活动房、体育用品、教学设备；电梯零部件销售；房地产开发经营。（依法须经批准的项目，经相关部门批准后方可开展经营活动。）","2020-02-26 17:05:26","002774"
"服装设计，同时根据客户需求对公司设计款式提供配套组织生产服务","服装生产、服装设计、批发零售","服装生产    、服装设计    、批发零售","服装设计、研发;服装面料的技术开发;服装面料的织造;服装设计人才培训;生产、销售各式服装及配件;销售纺织品;电子器件及其它组件研发、制造;参与实业投资;货物进出口;生产、销售医疗器械、医用服饰、口罩、帽子、鞋套医用防护产品(法律、行政法规和国务院决定禁止的项目除外;法律、行政法规和国务院决定限制的项目须取得许可后方可经营)。","2020-02-26 17:05:32","002776"
"人力资源和社会保障为核心的民生信息化领域软件产品、运维服务和系统集成","软件、运维服务、系统集成","软件    、运维服务    、系统集成","研制、开发、生产、销售计算机软硬件、网络设备、办公机械、货币专用设备、机电设备（不含九座以下乘用车）；软件运行维护服务；硬件运行维护服务；信息技术服务；信息安全服务；技术咨询；信息系统集成；智能弱电工程设计、施工；公共安全技术防范工程的设计、施工（以上工程类经营项目凭资质许可证从事经营）；货物进出口、技术进出口；医药、医疗咨询服务；开发、销售电子产品、通讯产品（不含无线广播电视发射设备和卫星地面接收设备）；增值电信业务经营（未取得相关行政审批，不得开展经营活动）；零售：药品（未取得相关行政审批，不得开展经营活动）；销售医疗器械（未取得相关行政审批，不得开展经营活动）；教育咨询。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。","2020-02-26 17:05:34","002777"
"从事各类工业润滑油及车用润滑油产品的研发、生产和销售","变压器油、液压油、内燃机油、溶剂油、其他润滑油","变压器油    、液压油    、内燃机油    、溶剂油    、其他润滑油","生物柴油的生产；石油制品、化工产品、日用化学品（以上范围不含需领取许可证或审批的项目）的生产、销售；自营和代理各类商品及技术的进出口业务；普通货运、大型物件运输（1）、货物专用运输（罐式）。（依法须经批准的项目，经相关部门批准后方可开展经营业务）。","2020-02-26 17:05:37","002778"
"油锯、割灌机、绿篱修剪机、坐骑式草坪割草机等园林机械及便携式数码发电机等以汽油机为核心部件产品的研发、设计、制造及销售。","油锯、绿篱机、割灌机、坐骑式草坪割草机","油锯    、绿篱机    、割灌机    、坐骑式草坪割草机","园林机械、农业机械、便携式发电机的技术研发；园林机械、农业机械、便携式发电机的制造（以上经营范围需前置审批和许可证项目除外）、销售；货物及技术进出口业务（分支机构经营地址设在浙江省永康市经济开发区名园北大道155号）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","2020-02-26 17:05:40","002779"
"户外用品研发代理销售；户外活动赛事组织运营；设计建设运营户外运动营地和开展青少年户外体验教育。","户外服装、户外鞋袜、户外装备","冲锋衣裤    、抓绒衣裤    、羽绒服    、棉服    、运动内衣    、卫衣    、速干衣裤    、衬衫    、休闲裤    、T恤    、短袖短裤    、滑雪服装    、攀岩服装    、骑行服    、压缩衣    、跑步服    、帽子    、手套    、围巾    、头巾    、高山靴    、登山鞋    、徒步鞋    、保暖靴    、多功能鞋    、越野跑鞋    、公路跑鞋攀岩鞋    、童鞋    、羊毛袜    、排汗袜    、鞋带鞋垫    、头盔    、安全带    、绳索    、锁具    、扁带    、冰爪    、冰镐    、睡袋    、帐篷    、背包    、防潮垫    、登山杖    、照明    、水具    、GPS    、登山表    、旅行用品    、车顶架    、折叠桌椅    、营地发电机    、保温箱    、车载工具    、自行车    、自行车配件    、滑雪板    、雪盔    、雪杖    、雪镜    、滑雪手套    、滑雪护具    、泳衣    、救生衣    、充气船","户外运动用品的销售、户外赛事的策划及组织等。公司的经营范围如下：户外运动用品的设计;技术开发;技术服务;文化艺术交流(演出除外);组织体育活动(组织承办体育比赛除外);销售文化体育用品、针纺织品、服装、鞋帽、办公用品、五金、交电、日用品、户外装备;委托生产加工;服装加工;物业管理;出租办公用房;出租商业用房;销售定型包装食品及饮料、冷食、酒;零售图书、期刊。","2020-02-26 17:05:46","002780"
"磁性元件及开关电源产品的开发、生产和销售","磁性元件、开关电源","电源变压器    、开关电源变压器    、电感    、为电源适配器    、动力电池充电器    、定制电源","开发、生产经营高低频变压器、电源产品及相关电子零配件、ADSL话音分离器、电感、滤波器、电路板（不含印刷电路板）、连接器、镇流器及电脑周边产品；从事货物及技术进出口（不含分销、国家专营专控商品）；普通货运；自有物业租赁（艺华花园）。","2020-02-26 17:05:49","002782"
"建筑装饰工程的设计与施工业务。","建筑装饰","装饰","建筑装修装饰工程专业承包壹级；建筑装饰专项工程设计甲级；建筑幕墙工程专业承包壹级；建筑幕墙工程设计专项甲级；建筑机电安装工程专业承包壹级；电子与智能化工程专业承包壹级；消防设施工程专业承包贰级；消防设施工程设计专项乙级；建筑工程施工总承包；钢结构工程专业承包（凭资质证书经营）；承包境外建筑装修装饰、建筑幕墙、建筑智能化工程和境内国际招标工程；上述境外工程所需的设备、材料出口；建筑材料、装饰材料、消防器材及装饰灯具的购销；从事货物、技术进出口业务（不含分销、国家专营专控商品）；太阳能、光伏设备安装工程（凭建设部门颁发的相关资质证书经营）；洁净工程；建筑新材料的研发和购销；建筑玻璃幕墙节能智能化技术的研发、绿色节能环保材料的研发、销售；计算机系统集成服务；建筑智能化系统服务；计算机软件的设计、研发及销售；物联网技术的研发与应用服务；互联网、云计算软件与平台技术服务；供应链管理及配套服务；健康科技的技术开发、咨询服务；自有房屋租赁；物业管理。对外派遣实施上述境外工程所需的劳务人员（按《对外承包工程资格证书》经营）。","2020-02-26 17:05:52","002781"
"工业炸药及相关产品的生产、销售","民用爆破器材、爆破服务、硝酸铵及复合肥","改性铵油炸药    、膨化硝铵炸药    、乳化炸药    、震源药柱    、爆破服务","民用爆炸物品生产，纸塑包装制品、精细化工、化工建材（不含危化品）的生产销售，化工机械制造及安装服务（不含特种设备），化工相关技术咨询服务，经营本企业自产产品及技术的出口业务，经营本企业生产所需的原辅材料、仪器仪表、机械设备、零配件及技术的进口业务（国家限定公司经营和国家禁止进出口的商品及技术除外），经营进料加工和“三来一补”业务，金属复合材料生产、加工、销售，机械电子信息系统整机及配套设备、智能移动设备的开发、生产、储存、运输和销售。(依法须经批准的项目，经相关部门批准后方可开展经营活动)","2020-02-26 17:05:57","002783"
"大型精密注塑模具的研发、设计、制造、销售及精密结构件成型生产和销售。","模具、注塑、五金","造型结构设计    、模具    、注塑    、五金制品    、机械    、电子产品","模具、塑胶、五金制品、电子产品的开发、生产及相关技术咨询，货物及技术进出口（不含法律、行政法规、国务院规定禁止及决定需前置审批的项目）普通货运。","2020-02-26 17:05:59","002786"
"建筑装饰石材及景观石材的研发设计、生产和销售","建筑装饰石材、景观石材、工程施工","建筑装饰石材    、景观石材    、工程施工","石制品、建筑用石、石雕工艺品、矿产品开发、加工及安装；高档环保型装饰装修用石板材、异型材的生产、加工；自营和代理各类商品及技术的进出口业务，但国家限定公司经营或禁止进出口的商品和技术除外；工艺美术品（不含金银首饰）、五金交电、化工材料（化学危险物品除外）、机械电子设备、沥青、金属材料、家具、木材、汽车零配件、矿产品、土畜产品的批发、零售等（上述涉及配额许可证管理、专项规定管理的商品按国家有关规定办理）。","2020-02-26 17:06:01","002785"
"药品、中药饮片、医疗器械和疫苗等分销及医药零售连锁","药品、医疗器械","药品    、医疗器械","西药批发；中药批发；第二、三类医疗器械批发；乳制品（含婴幼儿配方奶粉）批发；其他预包装食品批发；第一类医疗器械批发；化妆品及卫生用品批发；其他农业服务；其他仓储业（不含需经许可审批的项目）；装卸搬运等。","2020-02-26 17:06:03","002788"
"金属包装产品的生产及销售业务","金属包装","化工罐    、食品罐    、金属盖","对外投资；包装装潢印刷品印刷、其他印刷品印刷；金属产品生产加工；金属原材料循环再生利用；销售自产金属包装产品；自营和代理各类商品及技术的进出口业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","2020-02-26 17:06:05","002787"
"为写字楼、政府机关、星级酒店、文教体卫建筑、交通基建建筑等公共建筑及住宅(面向地产商)提供室内建筑装饰的施工和设计服务","公共装修、住宅装修","公共装修    、住宅装修","室内外装饰工程设计与施工；建筑幕墙工程设计与施工；智能化工程施工；机电安装工程施工；防腐保温工程施工；钢结构工程施工；建筑材料、灯具、卫生洁具、家私的购销；园林技术开发；园林设计、园林绿化（凭资质证书经营）。","2020-02-26 17:06:06","002789"
"卫浴配件产品的研发、生产与销售。","卫浴配件产品","冲水组件    、静音缓降盖板    、隐藏式水箱    、挂式水箱    、废料    、模具","研发、加工、生产、销售:卫生洁具、家用电器、模具、塑胶制品、橡胶制品、五金配套件;批发零售水暖器材、建筑装饰材料;经营本企业自产产品的出口业务和本企业所需的机器设备、零配件、原辅材料的进口业务(不另附进出口商品目录),但国家限定公司经营或禁止进出口的商品及技术除外;加工贸易业务。","2020-02-26 17:06:08","002790"
"中高端建筑门窗幕墙五金系统及金属构配件等相关产品的研发、生产和销售","门窗五金系统、门控五金系统、点支承玻璃幕墙构配件、不锈钢护栏构配件、家居类产品","门窗五金系统    、门控五金系统    、点支承玻璃幕墙构配件    、不锈钢护栏构配件    、家居类产品","研发、生产、销售：建筑五金及金属构配件、装配式建筑五金构配件、不锈钢制品、智能楼宇产品、智能家居产品、建筑门锁、门禁系统、紧固件、管廊产品、预埋槽道、抗震支吊架、塑胶制品、陶瓷制品、劳保用品、安防器材、家居产品、家用电器、照明器具、物料搬运设备、智能装备、机电设备、建筑工具、金属工具、化工产品（不含危险化学品）、钢丝绳、钢丝绳索具、钢绞线、建筑钢拉杆、桥梁缆索、索锚具、铸钢件、整体浴室、卫浴洁具、整体橱柜、密封胶条（含三元乙丙胶条）、耐火材料、包装材料、轨道交通配套设备、商业通道闸机、建筑及装饰装潢材料、工程安装与维修、技术及货物进出口；普通货运（仅限分支机构经营）","2020-02-26 17:06:12","002791"
"专业从事通信天线及射频器件产品的研发、生产及销售","通信天线及射频器件、光通信、信息指挥系统、5G产品","基站天线    、射频器件    、微波天线    、光通信    、信息指挥系统    、5G产品","研发、生产、销售：天线、射频器件、微波设备、光电子器件、通信系统设备、信号放大设备、信号测试设备、信号发射接收及处理设备、电子产品、馈线及电器配件（上述产品不含卫星接收设备）、开关电源、充电设备；研发、生产、销售：电池、智能设备及配件、换电设施及其相关技术的开发；防雷工程的设计、施工；承接通信铁塔工程；通信工程的设计、施工；通信设备安装及维护；承装、承修、承试电力设施；建筑业（通信工程）；通信设备租赁；通信网络系统集成；软件开发；技术转让及技术服务；货物或技术进出口（国家禁止或涉及行政审批的货物和技术进出口除外)（上述经营范围涉及货物进出口、技术进出口）。（依法须经批准的项目，经相关部门批准后方可开展经营活动。）（依法须经批准的项目，经相关部门批准后方可开展经营活动）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。","2020-02-26 17:06:18","002792"
"井用潜水泵、小型潜水泵及陆上泵的研发、生产和销售","井用潜水泵、配件","井用潜水泵    、小型潜水泵    、陆上泵    、配件","公司专业从事井用潜水泵、小型潜水泵、陆上泵的研发、生产和销售，核心产品为井用潜水泵。","2020-02-26 17:06:21","002793"
"精密箱体系统、移动通信设备","移动通信设备、精密箱体系统","电梯轿厢系统    、专业设备柜体系统    、滤波器    、双工器等射频器件    、室外基站天线    、室内分布天线","研发、生产、销售精密机械、精密钣金、五金件、冲压件、模具、电梯轿厢、观光梯轿厢及其他电梯轿厢、扶梯及电梯相关部件、医疗器械及成套设备、汽车用精密结构件、航空用精密结构件、通讯用精密结构件等各类精密结构件、金融设备柜体、通讯控制柜、新能源控制柜及各类控制柜、电气柜;经营本企业生产、科研所需的原辅材料;自营和代理各类商品及技术的进出口业务(国家限定企业经营或禁止进出口的商品和技术除外);自有房屋租赁。(依法须经批准的项目,经相关部门批准后方可开展经营活动)","2020-02-26 17:06:28","002796"
"流体控制设备及器材的研发、制造和销售","阀门类、管件类","黄铜类有铅    、 无铅水/暖/燃气阀门和管件，少量紫铜    、碳钢类卡压产品    、 TRV产品    、分水器","水暖管件、阀门、卫生洁具、塑胶制品、建筑及家具用金属配件、远程控制系统、智能建筑控制系统以及其他流体控制设备及配件的研发、制造和销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动","2020-02-26 17:06:34","002795"
"证券经纪；证券投资咨询；与证券交易、证券投资活动有关的财务顾问；证券（不含股票、中小企业私募债券以外的公司债券）承销；证券自营；证券资产管理；融资融券；证券投资基金代销；为期货公司提供中间介绍业务；代销金融产品。","固定收益业务、投资银行业务、资产管理业务、证券经纪及信用业务、私募股权基金管理和另类投资业务、期货业务、证券自营业务、新三板业务、研究业务","固定收益业务    、投资银行业务    、资产管理业务    、证券经纪及信用业务    、私募股权基金管理和另类投资业务    、期货业务    、证券自营业务    、新三板业务    、研究业务","证券经纪；证券投资咨询；与证券交易、证券投资活动有关的财务顾问；证券（不含股票、中小企业私募债券以外的公司债券）承销；证券自营；证券资产管理；证券投资基金代销；为期货公司提供中间介绍业务；融资融券；代销金融产品。","2020-02-26 17:06:39","002797"
"卫生洁具、建筑陶瓷两大重要家居装饰、装修产品的生产、研发、销售","卫浴产品、陶瓷墙地砖、亚克力板","卫浴产品    、陶瓷墙地砖    、亚克力板","制造、销售：卫浴产品、水暖材料、建材,相关产品出口及相关原材料进口;纸箱加工与制造;洁具产品的安装、维修及售后服务、咨询服务;设计、制造、销售、安装：家具、橱柜,以及提供售后服务。(以上经营范围不含国家法律法规限制或禁止的项目,涉及国家规定实施准入特别管理措施的除外,涉及许可证的凭相关许可证方可开展经营活动)。","2020-02-26 17:06:42","002798"
